casefileId,lenderLoanNumber,borrowerLastName,executionType,remittanceType,servicing,rateLockExpirationDate,noteRate,loanAmount,submittedCommitmentExpirationDate,passThrough,passThroughPrice,netSRP,passThroughPriceNetSRP,product,userId
KKH78JKV7UU,044383752,Harmon,I,S,L8E3,10/10/2012,0.00,815563,12/17/2012,Y,12,0.02,0.02,KZCU,Aliquam.tincidunt@velvulputate.org
OQE94NRB8BJ,541682463,Pierce,Y,T,S0N0,06/01/2011,0.09,96872,09/18/2011,N,68,0.06,0.08,VPJJ,aliquet@euismod.ca
RWZ36FWJ5PI,223833960,Mcintyre,N,V,F8F5,07/25/2012,0.03,364680,03/17/2013,Y,10,0.00,0.07,CKKH,fermentum@senectusetnetus.edu
DDM95UXE8MS,676829209,Duncan,U,B,R1J9,10/06/2011,0.09,206159,05/09/2012,Y,4,0.03,0.09,NILH,dolor@nibh.com
TKY56WUR8BL,976265446,Shepard,I,C,D7K3,03/25/2012,0.04,491075,11/04/2011,N,79,0.02,0.04,TVCP,facilisis.lorem@Nunccommodo.edu
JKW60KDM0ZV,116550058,Delaney,A,O,B1D6,06/02/2012,0.08,594877,12/23/2011,N,12,0.09,0.07,YQVJ,eget.volutpat.ornare@nuncinterdum.edu
NXT04UAZ6GA,131390931,Sykes,D,B,N9L2,08/09/2011,0.02,840176,02/25/2013,N,44,0.03,0.09,EJJZ,magnis.dis@pedemalesuada.com
UYL19LAH5YL,644077971,Fernandez,S,I,Q0H0,06/20/2011,0.04,896621,02/17/2012,Y,75,0.06,0.05,EUNQ,mollis.dui.in@nunc.edu
WEQ99IXR4EK,884188046,Nunez,B,V,M5M2,07/03/2012,0.03,684180,12/28/2012,N,60,0.05,0.02,FNDO,nunc.In@cursus.edu
WKS92PZT2QV,013537243,Rasmussen,Q,P,G7E6,12/04/2012,0.05,211664,11/28/2012,N,82,0.00,0.06,NBXC,Donec@bibendumfermentum.com
KTW91QDP0WG,510776904,Ayala,S,Z,B6B0,03/29/2012,0.02,409698,08/23/2011,Y,77,0.07,0.04,QSRH,augue.Sed.molestie@Vivamus.com
WVN66EOQ6PJ,569672040,Slater,Z,R,O6Y3,09/04/2011,0.08,221401,06/15/2011,N,39,0.00,0.09,XSNB,consequat@incursuset.org
GNM92TYS7US,433372585,Norman,T,N,J2O6,06/27/2011,0.04,261551,06/20/2012,Y,96,0.05,0.00,LKHF,Quisque.tincidunt@euodioPhasellus.org
KOB72GID8AX,331905155,Osborne,P,Z,C8E4,04/02/2012,0.09,158212,04/26/2012,Y,65,0.05,0.01,SHMY,dolor.dolor@lacusvestibulumlorem.org
DBR01GFR8XG,701940117,Osborn,J,K,Z8J6,09/17/2011,0.04,148969,09/14/2012,N,1,0.02,0.03,RIMY,elementum.sem@Maurisvestibulumneque.com
OLO59QRC3JL,733107237,Martin,S,M,W2L3,11/03/2012,0.03,178838,08/23/2011,Y,77,0.07,0.02,IGFZ,nunc.sed.pede@sapien.ca
CQC26WOZ6CS,199532720,Kane,M,J,T7I6,02/18/2012,0.00,638929,05/10/2012,Y,81,0.07,0.05,XZGU,nisl.sem@metusAenean.ca
PQW10DYG1LS,414884472,Contreras,J,E,F6Y7,03/06/2013,0.08,386639,12/14/2011,N,82,0.09,0.00,REBU,condimentum@magnaUttincidunt.edu
LUM26YSK2XU,314382620,Odonnell,H,T,W3O0,01/14/2013,0.06,512798,03/30/2013,Y,73,0.09,0.03,EFAD,dolor.elit.pellentesque@feugiat.edu
RYP97WRA9JI,726223880,Richardson,G,G,Z2K9,04/06/2011,0.06,710159,09/07/2011,Y,89,0.03,0.06,MKLJ,vitae@vestibulumneque.ca
BRL39UEU8YA,192589258,Morrison,G,J,A7T1,01/15/2012,0.01,81086,11/25/2011,Y,95,0.01,0.01,KNCF,tincidunt.nibh.Phasellus@natoque.ca
FOF74EAZ0RG,369171230,Guerrero,N,L,X6R5,02/25/2012,0.05,739719,10/29/2012,N,41,0.09,0.08,PTFU,fermentum.arcu.Vestibulum@Phasellusdolorelit.com
FDL39OOG6YT,083748462,Hurst,M,W,F6Q9,06/22/2012,0.09,459841,01/01/2013,N,40,0.06,0.04,VAKK,eu.dui@sagittis.com
DHU87RJJ9VV,805494938,Mckee,W,R,P2B1,03/30/2013,0.09,86795,03/06/2012,Y,31,0.02,0.09,CCQT,imperdiet.ullamcorper@maurisMorbinon.ca
NIJ93UYR6NN,217327490,Mooney,W,C,S5V1,01/31/2013,0.05,519072,01/04/2012,N,38,0.00,0.07,TABN,egestas.lacinia.Sed@dui.com
LPC78UFU7VR,851777210,Estrada,Y,V,H0J2,11/06/2011,0.07,500420,10/22/2012,Y,6,0.09,0.02,DSDX,dolor.nonummy.ac@ProindolorNulla.org
PIV30NPG6WF,412830300,Dodson,I,F,Y4D8,01/26/2012,0.04,862749,06/10/2011,Y,3,0.04,0.09,VVAJ,vel.sapien@luctuslobortisClass.com
LKT27TPV8VD,075269020,Lynch,G,W,J2F7,06/26/2011,0.05,220032,12/10/2012,N,1,0.06,0.04,TYFM,imperdiet.ullamcorper@Pellentesqueultricies.edu
KDT67SSB7GH,565830030,Patterson,V,V,R0I1,03/20/2012,0.00,660640,07/11/2011,Y,18,0.00,0.06,XSLQ,egestas.hendrerit@anteblandit.ca
ZHI76KVB4NW,218539281,Garrett,O,A,A9Q4,08/20/2012,0.04,34876,04/18/2012,N,25,0.00,0.03,OUAY,enim.non@estmauris.ca
SIW26UOP8WD,991535548,Mcguire,V,K,K8J0,06/05/2012,0.09,772622,09/12/2012,N,91,0.04,0.04,TTEO,dui@Maurisblandit.ca
IBZ84PMW4BR,845144963,Hobbs,C,D,E2R4,08/13/2011,0.09,104166,02/27/2013,Y,86,0.04,0.07,WIDL,Duis.risus.odio@NullafacilisisSuspendisse.org
SIE88QWL0HN,147897955,Gilmore,H,L,R4W4,12/23/2011,0.03,756074,02/13/2012,N,3,0.04,0.06,EJMV,ac@nisimagnased.com
YXE78XRL4AS,961714545,Adkins,E,S,J6N5,09/24/2011,0.05,366132,09/02/2012,N,2,0.03,0.09,ECUB,nonummy.ut.molestie@tristiquealiquet.ca
LLA25NUC0UG,719265665,Wood,Q,S,B4U8,03/08/2012,0.06,313297,10/26/2012,Y,54,0.07,0.00,OZQC,posuere.cubilia.Curae;@malesuada.ca
XSY13LWB9VS,691477732,Lester,K,V,N0Y2,08/17/2012,0.07,75252,04/07/2012,Y,77,0.09,0.05,SEYD,adipiscing@in.org
UUV25OBW8OG,602630628,Nielsen,U,N,V7R8,01/21/2013,0.07,782846,07/05/2012,Y,46,0.05,0.05,HWAW,varius.et.euismod@aliquamenimnec.edu
KOL09NSF3KA,827504389,Terry,I,G,T3D6,04/12/2012,0.02,834833,10/19/2012,N,39,0.02,0.06,VGQI,scelerisque.neque.sed@Aliquameratvolutpat.ca
OPQ06CJN0HV,301463287,Knight,M,P,U1Y7,06/20/2011,0.09,632657,08/17/2011,N,87,0.01,0.07,MGLP,lacus.Cras@massaVestibulumaccumsan.ca
ZYX46HRL0FX,690670289,Holcomb,P,K,R0Z3,12/27/2012,0.09,655967,03/25/2013,N,75,0.06,0.01,QBUY,Sed.neque.Sed@sollicitudin.edu
